Card,Set,Model
Ancestral Recall,Unlimited,bytedance/seedance-1-lite
Wrath of God,Dominaria Remastered,bytedance/seedance-1-lite
Lightning Bolt,Ravnica,bytedance/seedance-1-lite
Vampiric Tutor,Visions,bytedance/seedance-1-lite
Dark Ritual,Masters Edition II,bytedance/seedance-1-lite
Serra Angel,Fourth edition,bytedance/seedance-1-lite
"Emrakul, the Aeons Torn",Ultimate Masters,bytedance/seedance-1-lite
"Ulamog, the Ceaseless Hunger",Commander Masters,bytedance/seedance-1-lite
"Garruk, Cursed Huntsman",Throne of Eldraine,bytedance/seedance-1-lite
